"educ","cigprice","age","income","cigs","law"
18,57.473,39,30000,0,0
15,59.852,25,500,9,0
10,59.13,58,20000,0,0
13.5,59.13,23,30000,15,0
16,59.233,30,20000,28,0
10,57.939,31,8500,40,0
16,57.473,31,20000,0,0
16,58.094,50,20000,0,0
8,58.508,20,12500,0,0
13.5,57.11,24,12500,0,0
12,61.988,33,20000,0,0
16,63.556,39,30000,0,0
13.5,57.466,19,30000,0,0
12,59.43,31,20000,20,0
13.5,60.042,40,30000,50,0
16,59.492,39,12500,0,0
15,59.676,23,5500,7,0
8,58.632,71,8500,0,0
6,58.08,54,6500,0,0
10,58.51,33,12500,20,0
18,60.221,30,30000,0,0
12,57.835,31,8500,20,0
18,60.518,46,30000,0,0
12,59.921,75,20000,0,0
8,58.264,40,30000,20,0
12,59.43,66,12500,0,0
18,59.492,45,30000,40,0
8,59.246,73,8500,0,0
12,57.712,31,20000,30,0
13.5,58.264,27,30000,0,0
10,58.632,50,20000,0,0
12,57.712,45,30000,0,0
12,58.264,22,30000,30,0
13.5,59.246,44,30000,0,0
10,58.51,51,30000,5,0
6,58.816,59,3500,0,0
10,58.448,59,20000,0,0
12,57.65,66,8500,0,0
13.5,59.246,35,30000,3,0
10,57.65,17,20000,15,0
12,59.553,35,20000,0,0
16,59.614,30,30000,0,0
12,59.43,23,30000,0,0
8,58.141,60,8500,0,0
18,59.246,27,20000,0,0
16,57.65,37,20000,0,0
15,57.957,42,20000,0,0
8,59.921,87,3500,0,0
13.5,59.614,26,20000,20,0
12,57.405,20,12500,15,0
10,58.878,65,12500,0,0
12,59.614,35,30000,20,0
18,59.001,38,30000,0,0
10,59.185,64,20000,20,0
10,58.264,62,8500,0,0
12,58.694,47,20000,1,0
10,58.08,52,30000,20,0
13.5,58.571,32,12500,0,0
16,58.448,26,20000,15,0
18,59.553,35,20000,0,0
16,57.712,35,30000,0,0
10,59.062,24,12500,0,0
8,59.43,77,20000,1,0
13.5,58.141,24,4500,20,0
8,53.325,63,20000,20,0
18,53.049,58,20000,0,0
10,52.888,69,3500,0,0
13.5,54.381,62,12500,50,0
12,53.67,27,12500,0,0
13.5,53.049,30,20000,20,0
10,52.796,51,30000,0,0
12,53.118,32,12500,0,0
10,52.819,51,30000,20,0
6,53.647,53,20000,0,0
13.5,53.509,20,20000,0,0
13.5,53.279,22,12500,40,0
16,52.819,24,30000,0,0
12,53.256,23,6500,0,0
12,52.819,65,30000,0,0
8,53.233,21,20000,20,0
8,52.98,19,1500,0,0
10,53.509,24,12500,20,0
12,53.325,34,20000,30,0
10,52.819,54,8500,6,0
18,58.142,50,20000,15,0
13.5,57.912,65,8500,20,0
12,56.9,33,20000,20,0
8,57.682,69,8500,0,0
15,59.235,26,12500,30,0
8,57.682,69,8500,0,0
12,56.9,59,30000,20,0
12,57.677,35,12500,20,0
6,58.378,54,8500,0,0
13.5,55.596,28,12500,0,0
12,55.596,28,20000,15,0
10,45.283,77,3500,30,0
12,44.059,64,20000,0,0
10,45.561,52,4500,40,0
10,45.283,21,1500,30,0
10,45.839,46,30000,0,0
12,45.227,24,20000,0,0
12,45.839,31,8500,30,0
12,44.004,26,8500,0,0
10,45.784,79,4500,0,0
12,46.521,53,30000,30,0
12,58.149,32,12500,40,0
15,60.235,21,5500,0,0
15,58.983,18,20000,0,0
13.5,59.428,30,12500,0,0
12,59.372,20,20000,15,0
8,56.904,69,12500,40,0
8,58.053,59,30000,20,0
12,57.069,56,30000,30,0
18,57.179,43,30000,0,0
10,57.434,40,30000,40,0
16,58.795,37,30000,0,0
10,58.255,36,12500,0,0
13.5,58.795,28,30000,40,0
12,57.871,33,30000,0,0
16,57.288,63,20000,0,0
8,57.835,51,1500,20,0
12,58.795,33,30000,10,0
13.5,57.069,39,30000,0,0
12,57.762,21,20000,20,0
13.5,58.255,37,30000,0,0
18,58.885,70,30000,0,0
12,57.871,20,30000,0,0
16,57.069,27,12500,0,0
16,58.885,28,20000,4,0
16,66.761,30,20000,0,0
13.5,65.767,52,20000,20,0
18,65.199,24,12500,0,0
12,65.767,71,12500,0,0
12,67.115,39,20000,50,0
12,68.335,19,8500,10,0
13.5,66.973,21,20000,0,0
16,67.399,33,3500,0,0
13.5,66.122,51,20000,0,0
8,65.767,54,30000,20,0
13.5,67.541,44,20000,25,0
12,67.115,43,30000,0,0
6,65.767,68,5500,0,0
12,66.761,22,20000,0,0
10,65.838,54,30000,40,0
16,67.825,37,30000,30,0
13.5,66.548,22,30000,15,0
18,58.381,65,30000,0,1
12,60.224,30,30000,30,1
12,60.224,19,30000,2,1
15,60.349,35,30000,0,1
10,59.986,59,30000,0,1
12,58.202,18,1500,0,1
12,58.262,44,20000,20,1
16,58.856,37,20000,0,1
12,60.522,37,12500,20,1
12,58.202,19,500,0,1
12,58.975,25,20000,0,1
16,58.916,31,12500,20,1
12,59.986,19,30000,0,1
10,58.499,18,30000,0,1
16,59.867,28,20000,20,1
18,58.381,46,30000,0,1
12,58.262,27,20000,0,1
12,57.845,58,20000,0,1
12,60.522,19,30000,0,1
13.5,60.283,30,20000,3,1
13.5,58.737,58,30000,30,1
6,58.024,42,20000,10,1
13.5,58.083,45,30000,0,1
10,60.436,18,12500,14,1
12,60.551,40,30000,20,1
13.5,59.986,66,8500,0,1
12,60.224,64,8500,20,1
12,59.986,43,30000,20,1
10,60.551,53,30000,0,1
16,58.797,36,30000,30,1
13.5,60.493,43,20000,20,1
18,59.57,25,12500,0,1
12,60.464,35,30000,0,1
16,62.102,29,30000,0,1
12,62.465,18,3500,0,1
12,63.199,20,12500,0,1
12,62.344,19,30000,0,1
10,62.948,17,30000,0,1
18,61.498,29,30000,20,1
8,61.458,65,12500,0,1
12,61.498,42,20000,0,1
16,63.253,32,30000,0,1
18,62.948,36,30000,0,1
16,63.253,57,30000,0,1
12,62.465,31,12500,0,1
10,62.264,17,20000,0,1
10,62.948,17,20000,0,1
8,59.376,45,20000,8,0
12,59.621,19,30000,10,0
8,54.338,74,5500,0,0
12,53.653,46,30000,25,0
13.5,54.925,27,30000,0,0
12,56.294,66,20000,0,0
16,54.925,44,30000,0,0
12,55.022,33,30000,0,0
12,54.142,64,20000,0,0
13.5,57.485,54,30000,1,0
10,57.585,27,12500,30,0
6,57.485,75,4500,0,0
10,53.262,19,8500,0,0
6,56.979,69,2500,20,0
12,55.707,30,8500,0,0
12,56.098,64,12500,0,0
13.5,57.336,37,30000,0,0
12,54.436,31,30000,0,0
12,57.585,30,20000,2,0
6,55.015,38,30000,0,1
12,59.653,20,30000,0,1
12,59.653,21,3500,20,1
12,56.804,19,12500,0,1
18,58.464,71,12500,0,0
10,63.103,49,20000,18,0
10,55.168,42,8500,0,0
8,55.007,54,12500,10,0
13.5,55.168,24,20000,20,0
12,54.322,60,30000,0,0
12,55.168,54,20000,0,0
10,53.879,28,8500,20,0
8,64.994,67,12500,0,0
12,65.55,56,20000,40,0
16,64.048,36,30000,0,0
12,64.438,25,30000,0,0
13.5,65.828,34,20000,0,0
10,65.605,20,20000,5,0
13.5,64.493,21,30000,10,0
12,64.938,42,8500,0,0
13.5,64.549,28,12500,20,0
18,65.439,29,20000,0,0
8,64.994,70,5500,20,0
12,66.328,32,12500,30,0
13.5,65.772,42,30000,40,0
10,65.161,17,30000,30,0
12,66.784,24,20000,0,0
15,66.328,64,20000,0,0
12,65.717,57,30000,60,0
16,64.104,51,30000,0,0
13.5,65.717,29,12500,18,0
10,64.438,66,6500,20,0
13.5,64.382,62,30000,15,0
16,66.328,29,30000,40,0
6,65.605,58,8500,0,0
15,65.161,53,20000,0,0
13.5,65.439,38,30000,0,0
12,64.104,24,20000,0,0
8,66.384,59,20000,0,0
16,66.217,30,30000,0,0
8,64.382,37,20000,0,0
12,65.995,43,20000,0,0
12,66.162,60,20000,0,0
10,64.994,24,12500,40,0
12,64.549,60,12500,0,0
8,62.04,82,4500,0,0
12,64.192,61,20000,0,0
10,64.507,66,30000,0,0
15,61.85,33,30000,0,0
10,64.564,26,20000,19,0
8,64.192,85,20000,20,0
13.5,62.104,32,20000,0,0
10,63.369,27,8500,0,0
12,64.129,30,30000,20,0
12,62.673,30,5500,0,0
13.5,63.179,47,30000,0,0
12,61.85,18,6500,0,0
12,62.42,20,6500,0,0
18,62.547,32,30000,0,0
18,61.977,30,20000,0,0
10,63.686,17,20000,0,0
12,62.61,22,12500,10,0
13.5,61.787,43,30000,0,0
10,63.306,56,20000,40,0
6,61.977,64,6500,0,0
6,62.926,76,12500,0,0
12,64.002,28,12500,30,0
18,64.651,37,30000,0,0
15,63.622,38,20000,0,0
16,62.104,52,20000,20,0
8,63.116,68,12500,0,0
12,62.926,75,12500,0,0
13.5,61.85,54,30000,20,0
18,61.85,36,30000,40,0
6,62.357,37,4500,0,0
13.5,62.42,23,12500,28,0
6,64.192,36,6500,5,0
10,63.116,44,30000,0,0
18,64.192,56,20000,0,0
10,64.319,64,12500,0,0
13.5,62.99,45,30000,28,0
12,61.787,56,30000,30,0
8,63.179,62,30000,0,0
15,62.8,62,12500,0,0
16,64.564,52,30000,0,0
10,63.116,18,30000,0,0
12,64.065,47,500,0,0
18,63.179,52,30000,0,0
12,64.129,18,20000,0,0
13.5,64.065,26,12500,20,0
15,64.622,22,30000,0,0
6,63.116,65,6500,0,0
12,63.876,38,20000,20,0
13.5,63.053,20,20000,0,0
16,62.04,41,20000,60,0
16,63.306,28,20000,20,0
16,62.926,57,20000,0,0
10,63.179,44,8500,7,0
13.5,64.478,32,20000,0,0
13.5,64.129,22,8500,15,0
16,64.382,30,30000,0,0
16,62.42,30,12500,0,0
10,63.053,59,20000,40,0
6,64.002,42,8500,0,0
10,63.433,31,12500,20,0
12,63.369,39,20000,0,0
8,63.686,65,12500,0,0
10,62.104,78,12500,10,0
10,63.622,17,4500,0,0
18,63.559,34,30000,0,0
16,64.651,39,30000,0,0
10,62.8,49,12500,0,0
12,64.192,51,30000,0,0
12,61.85,19,20000,0,0
12,63.559,26,20000,30,0
12,62.293,82,6500,0,0
12,64.129,38,3500,10,0
12,62.8,32,20000,30,0
10,61.724,27,3500,30,0
12,64.564,35,20000,0,0
10,63.749,54,20000,0,0
12,61.977,37,30000,20,0
10,64.651,60,12500,10,0
10,63.433,17,30000,11,0
16,64.564,28,20000,40,0
8,62.167,35,12500,40,0
10,64.002,40,8500,20,0
6,64.129,24,3500,0,0
18,63.749,41,30000,0,0
8,61.787,47,20000,0,0
13.5,46.314,22,6500,0,0
18,44.726,29,20000,0,0
10,44.381,17,30000,30,0
13.5,47.648,40,30000,40,0
13.5,46.314,32,8500,10,0
13.5,47.004,47,30000,0,0
10,46.659,58,20000,20,0
18,44.45,74,30000,0,0
12,47.492,49,30000,20,0
6,47.211,69,5500,0,0
16,47.211,25,12500,0,0
6,45.278,71,1500,0,0
12,57.352,66,6500,1,0
10,57.49,25,12500,20,0
10,59.151,50,20000,0,0
13.5,57.03,19,2500,0,0
6,57.168,28,3500,3,0
15,58.996,22,12500,0,0
13.5,58.088,49,30000,20,0
12,57.536,39,20000,20,0
10,58.641,19,3500,9,0
12,57.812,60,30000,0,0
18,58.181,37,20000,18,0
12,58.088,62,12500,0,0
12,58.892,20,1500,0,0
16,58.135,23,4500,1,0
10,56.846,45,20000,60,0
12,57.398,28,30000,40,0
12,59.151,20,30000,6,0
12,58.319,51,20000,0,0
12,57.398,62,6500,0,0
12,59.048,55,30000,0,0
16,58.181,26,12500,0,0
12,58.088,41,20000,10,0
13.5,58.227,67,12500,0,0
10,57.398,19,30000,20,0
18,56.754,33,20000,0,0
18,57.398,29,12500,0,0
12,57.444,49,20000,20,0
12,59.048,29,3500,20,0
15,58.841,32,20000,0,0
16,57.812,31,30000,60,0
10,57.904,17,20000,50,0
13.5,57.536,33,20000,0,0
12,58.737,21,12500,0,0
10,58.319,59,20000,30,0
13.5,56.984,25,30000,20,0
8,57.398,32,30000,60,0
12,58.411,25,20000,0,0
13.5,58.737,61,6500,40,0
18,58.892,66,30000,0,0
10,57.398,22,12500,25,0
12,57.49,24,6500,10,0
18,58.135,43,30000,0,0
12,59.048,51,20000,0,0
16,57.812,45,30000,0,0
12,58.841,45,20000,0,0
18,57.398,66,8500,0,0
12,58.892,38,30000,0,0
10,56.846,49,20000,30,0
13.5,57.444,29,8500,1,0
16,56.846,45,30000,33,0
18,60.873,43,30000,80,0
12,61.156,49,30000,0,0
13.5,62.718,20,30000,0,0
13.5,63.273,41,20000,20,0
12,58.46,31,20000,0,0
13.5,60.021,28,12500,0,0
12,59.028,36,12500,0,0
18,54.429,37,20000,0,0
12,53.344,18,500,0,0
15,52.579,22,2500,0,0
18,52.7,33,20000,0,0
10,53.143,76,4500,0,0
13.5,52.7,34,20000,0,0
13.5,60.786,78,2500,0,0
12,60.974,31,3500,15,0
10,61.269,42,12500,0,0
18,61.216,32,5500,10,0
8,60.746,80,12500,0,0
12,61.751,40,8500,10,0
16,61.242,53,30000,0,0
6,60.826,82,12500,0,0
6,61.055,18,8500,11,0
8,61.081,46,12500,10,0
12,61.202,60,20000,0,0
8,61.684,78,6500,0,0
12,60.947,47,30000,0,0
10,60.813,17,30000,0,0
12,60.759,27,20000,2,0
18,61.242,48,30000,0,0
18,61.028,39,30000,0,0
12,61.229,25,30000,0,0
12,61.885,30,3500,10,0
18,60.746,59,20000,0,0
16,61.041,47,30000,0,0
12,61.189,32,8500,20,0
10,61.189,17,20000,20,0
13.5,60.786,23,30000,0,0
12,61.256,20,12500,0,0
13.5,60.974,32,20000,0,0
13.5,61.001,19,30000,10,0
12,61.095,23,20000,0,0
10,61.229,18,6500,0,0
12,61.229,54,20000,30,0
12,60.947,65,20000,20,0
8,60.974,55,6500,0,0
12,61.001,29,30000,30,0
12,61.885,19,5500,8,0
16,60.786,27,12500,0,0
12,61.256,26,12500,35,0
10,61.189,59,30000,20,0
12,60.732,25,20000,0,0
16,61.041,78,12500,0,0
6,60.826,69,6500,20,0
10,61.216,58,20000,0,0
15,51,24,12500,0,0
12,51,54,12500,0,0
12,51,48,20000,0,0
12,51.04,59,30000,30,0
10,51.04,38,20000,40,0
16,50.919,29,30000,0,0
12,51.443,33,12500,50,0
6,51,32,2500,0,0
18,57.982,36,30000,0,0
6,59.996,49,30000,20,0
16,58.04,69,20000,0,0
12,60.868,18,30000,20,0
18,57.982,72,20000,0,0
18,60.803,35,12500,40,0
8,58.788,71,1500,0,0
13.5,58.615,47,30000,0,0
12,58.442,20,500,0,0
12,60.168,43,20000,0,0
12,60.347,65,4500,0,0
8,60.226,23,2500,10,0
12,59.996,44,30000,40,0
13.5,63.989,28,20000,0,0
18,64.235,67,20000,0,0
13.5,62.858,32,12500,0,0
8,63.519,37,20000,0,0
13.5,63.928,32,12500,4,0
6,63.577,57,20000,0,0
10,63.145,55,20000,30,0
12,63.663,31,30000,0,0
12,63.088,57,30000,0,0
13.5,63.744,54,30000,0,0
16,63.989,24,20000,25,0
13.5,63.692,33,12500,0,0
16,62.829,49,30000,0,0
10,63.548,19,12500,0,0
16,62.57,50,8500,20,0
18,62.829,58,30000,0,0
10,62.973,65,20000,0,0
10,64.235,18,8500,0,0
12,63.232,31,30000,20,0
12,62.829,34,20000,0,0
12,63.49,55,30000,0,0
16,63.26,28,12500,0,0
12,62.541,65,8500,20,0
8,63.928,68,5500,15,0
13.5,62.829,29,30000,0,0
12,62.656,29,20000,10,0
12,62.858,61,8500,0,0
16,63.375,45,30000,0,0
15,63.318,66,20000,0,0
12,63.548,18,30000,0,0
16,62.685,44,30000,40,0
12,62.742,41,20000,0,0
6,62.829,31,8500,0,0
12,63.577,61,4500,40,0
10,63.232,29,20000,0,0
13.5,62.57,70,3500,12,0
6,63.692,49,5500,20,0
16,62.886,35,20000,0,0
12,63.203,28,20000,15,0
12,63.548,30,20000,0,0
13.5,63.989,23,12500,0,0
12,62.771,35,20000,0,0
12,63.26,24,8500,0,0
16,63.663,22,30000,0,0
10,63.663,49,30000,0,0
12,63.232,38,30000,30,0
12,56.174,22,30000,0,1
16,56.51,45,20000,0,1
18,56.174,39,30000,0,1
15,54.63,61,12500,0,1
12,54.764,19,30000,0,1
18,56.174,36,20000,0,1
10,54.764,21,30000,0,1
16,54.63,38,30000,0,1
12,46.932,39,30000,0,0
18,47.035,29,20000,0,0
13.5,48.798,44,30000,0,0
12,46.31,46,30000,10,0
13.5,47.657,26,30000,0,0
13.5,48.071,30,20000,0,0
12,47.346,47,20000,40,0
6,48.545,64,20000,0,0
12,47.501,18,20000,5,0
12,47.346,37,12500,20,0
10,47.605,67,12500,0,0
10,47.812,29,20000,20,0
18,46.466,60,30000,5,0
12,46.776,39,20000,0,0
13.5,46.31,59,20000,15,0
6,46.518,75,1500,0,0
12,48.545,19,30000,15,0
13.5,63.45,27,20000,6,0
13.5,62.227,62,20000,0,0
12,63.113,63,30000,20,0
12,63.408,60,30000,0,0
12,62.86,46,30000,20,0
12,62.227,28,6500,0,0
13.5,62.227,20,20000,15,0
12,63.366,50,20000,0,0
15,62.1,43,30000,0,0
12,63.366,45,30000,55,0
12,63.282,62,6500,0,0
6,63.282,70,4500,12,0
12,64.161,58,12500,0,0
12,64.107,21,30000,0,0
13.5,63.028,27,1500,0,0
18,64.214,47,30000,0,0
10,63.999,68,12500,0,0
10,63.282,17,30000,2,0
16,62.227,35,20000,0,0
12,62.691,37,30000,0,0
16,63.838,30,20000,20,0
10,63.408,19,30000,0,0
12,63.493,54,12500,30,0
12,63.838,41,30000,10,0
12,62.227,34,30000,0,0
13.5,62.691,28,6500,20,0
13.5,62.185,26,20000,30,0
12,62.48,18,30000,0,0
12,62.868,19,20000,0,0
6,61.251,29,20000,0,0
8,59.988,60,12500,15,0
18,61.393,50,20000,0,0
12,60.707,52,20000,40,0
15,61.251,22,30000,5,0
10,60.036,38,20000,40,0
10,60.227,63,12500,0,0
16,60.995,23,12500,0,0
18,61.818,52,30000,20,0
18,61.676,31,12500,0,0
16,60.707,30,20000,0,0
10,59.988,18,20000,0,0
10,59.652,47,30000,20,0
